,precision,recall,f1-score,support
Daniel Defoe,0.23134328358208955,0.1657754010695187,0.19314641744548286,187.0
Anthony Trollope,0.4083885209713024,0.48812664907651715,0.44471153846153844,379.0
Charles Dickens,0.4413793103448276,0.21585160202360876,0.289920724801812,593.0
Elizabeth Cleghorn Gaskell,0.18930041152263374,0.25555555555555554,0.21749408983451538,180.0
Rudyard Kipling,0.25783132530120484,0.5219512195121951,0.34516129032258064,205.0
William Caxton,0.9680851063829787,0.8478260869565217,0.9039735099337748,322.0
William Shakespeare,0.6035502958579881,0.85,0.7058823529411765,120.0
accuracy,0.4390735146022155,0.4390735146022155,0.4390735146022155,0.4390735146022155
macro avg,0.44283975056614644,0.4778695020277025,0.4428985605344115,1986.0
weighted avg,0.4687096223723847,0.4390735146022155,0.4341789507475637,1986.0
